#############################################,,,
# Title : Dickinson QFL,,,
# Description : data for creation of provinces of the Dickinson QFL ternary diagram using Ternary.R and ggtern package,,,
# Date : 25/11/2014,,,
# Author : Jérémy Ragusa,,,
#############################################,,,
# Comment :,,,
# Values reported from Dickinson et al.(1983) using WebPlotDigitizer (http://arohatgi.info/WebPlotDigitizer/beta/) for complementary data,,,
#############################################,,,
F,L,Q,Label
0,0,100,Craton Interior
18,0,82,Craton Interior
15.293,5.089,79.617,Craton Interior
0,3,97,Craton Interior
18,0,82,Transitional Continental
45,0,55,Transitional Continental
40.046, 8.681, 51.273,Transitional Continental
15.293,5.089,79.617,Transitional Continental
45,0,55,Basement Uplift
100,0,0,Basement Uplift
85,15,0,Basement Uplift
40.046, 8.681, 51.273,Basement Uplift
50,50,0,Undissected Arc
0,100,0,Undissected Arc
0,75,25,Undissected Arc
85,15,0,Transitional Arc
50,50,0,Transitional Arc
0,75,25,Transitional Arc
12.832, 53.791, 33.377,Transitional Arc
69.443,12.883,17.674,Transitional Arc
69.443,12.883,17.674,Dissected Arc
12.832, 53.791, 33.377,Dissected Arc
40.046, 8.681, 51.273,Dissected Arc
0,3,97,Recycled Orogenic
40.046, 8.681, 51.273,Recycled Orogenic
0,75,25,Recycled Orogenic
