#############################################,,,
# Title : Folk classification of sandstones,,,
# Description : data for creation of sandstones nomenclature using Ternary.R script and ggtern package,,,
# Date : 12/12/2014,,,
# Author : Jérémy Ragusa,,,
#############################################,,,
# Comment :,,,
# Values reported from Folk (1970),,,
#############################################,,,
Q,F,R,Label
100,0,0,Quartzarenite
95,5,0,Quartzarenite
95,0,5,Quartzarenite
95,5,0,Subfeldsparenite
95,2.5,2.5,Subfeldsparenite
75,12.5,12.5,Subfeldsparenite
75,25,0,Subfeldsparenite
95,2.5,2.5,Sublitharenite
75,12.5,12.5,Sublitharenite
75,0,25,Sublitharenite
95,0,5,Sublitharenite
75,25,0,Feldsparenite (Arkose)
0,100,0,Feldsparenite (Arkose)
0,75,25,Feldsparenite (Arkose)
75,18.75,6.25,Feldsparenite (Arkose)
75,18.75,6.25,Lithic feldsparenite
0,75,25,Lithic feldsparenite
0,50,50,Lithic feldsparenite
75,12.5,12.5,Lithic feldsparenite
75,12.5,12.5,Feldspathic litharenite
0,50,50,Feldspathic litharenite
0,25,75,Feldspathic litharenite
75,6.25,18.75,Feldspathic litharenite
75,6.25,18.75,Litharenite
0,25,75,Litharenite
0,0,100,Litharenite
75,0,25,Litharenite
