#############################################,,,
# Title : Garnet provenance,,,
"# Description : data for creation of provenances domains of garnet (Morton, 1989) using Ternary.R and ggtern package",,,
# Date : 25/11/2014,,,
# Author : Jérémy Ragusa,,,
#############################################,,,
# Comment :,,,
# Values reported from Morton (1989) and using WebPlotDigitizer (http://arohatgi.info/WebPlotDigitizer/beta/) for complementary data,,,
#############################################,,,
Mg,Fe.Mn,Ca,Label
71,29,0,Type A
49,40,11,Type A
20,69,11,Type A
20,80,0,Type A
20,69,11,Type B i
20,80,0,Type B i
0,100,0,Type B i
0,89,11,Type B i
0,89,11,Type B ii
0,45,55,Type B ii
10.5,39.75,49.75,Type B ii
10.5,64.75,24.75,Type B ii
20,69,11,Type B ii
0,45,55,Type D
10.5,39.75,49.75,Type D
10.5,0,89.5,Type D
0,0,100,Type D
39.5,49.5,11,Type C i
20,69,11,Type C i
10.5,64.75,24.75,Type C i
10.5,0,89.5,Type C i
39.5,0,60.5,Type C i
100,0,0,Type C ii
71,29,0,Type C ii
49,40,11,Type C ii
39.5,49.5,11,Type C ii
39.5,0,60.5,Type C ii
