#############################################,,,
# Title : classification of igneous rocks (feldspathoids excluded),,,
# Description : data for creation of igneous rocks classification domains using Ternary.R and ggtern package,,,
# Date : 25/11/2014,,,
# Author : Jérémy Ragusa,,,
#############################################,,,
# Comment :,,,
# Values reported using WebPlotDigitizer (http://arohatgi.info/WebPlotDigitizer/beta/),,,
#############################################,,,
Q,A,P,Label
100,0,0,Quartzolite
90,10,0,Quartzolite
90,0,10,Quartzolite
90,10,0,Quartz-rich granitoid
60,40,0,Quartz-rich granitoid
60,0,40,Quartz-rich granitoid
90,0,10,Quartz-rich granitoid
60,40,0,Alkali-feldspar granite
20,80,0,Alkali-feldspar granite
20,72,8,Alkali-feldspar granite
60,36,4,Alkali-feldspar granite
60,36,4,Syeno-granite
20,72,8,Syeno-granite
20,52.125,27.875,Syeno-granite
60,26,14,Syeno-granite
60,26,14,Monzo-granite
20,52.125,27.875,Monzo-granite
20,27.875,52.125,Monzo-granite
60,14,26,Monzo-granite
60,14,26,Grano-diorite
20,27.875,52.125,Grano-diorite
20,8,72,Grano-diorite
60,4,36,Grano-diorite
60,4,36,Tonalite
20,8,72,Tonalite
20,0,80,Tonalite
60,0,40,Tonalite
20,80,0,Alkali-feldspar quartz syenite
5,95,0,Alkali-feldspar quartz syenite
5,84.5,9.5,Alkali-feldspar quartz syenite
20,72,8,Alkali-feldspar quartz syenite
20,72,8,Quartz syenite
5,84.5,9.5,Quartz syenite
5,61.75,33.25,Quartz syenite
20,52.125,27.875,Quartz syenite
20,52.125,27.875,Quartz monzonite
5,61.75,33.25,Quartz monzonite
5,33.25,61.75,Quartz monzonite
20,27.875,52.125,Quartz monzonite
20,27.875,52.125,Quartz monzodiorite / Quartz monzogabbro
5,33.25,61.75,Quartz monzodiorite / Quartz monzogabbro
5,9.5,84.5,Quartz monzodiorite / Quartz monzogabbro
20,8,72,Quartz monzodiorite / Quartz monzogabbro
20,8,72,Quartz diorite / Quartz gabbro
5,9.5,84.5,Quartz diorite / Quartz gabbro
5,0,95,Quartz diorite / Quartz gabbro
20,0,80,Quartz diorite / Quartz gabbro
5,95,0,Alkali-feldspar syenite
0,100,0,Alkali-feldspar syenite
0,90,10,Alkali-feldspar syenite
5,84.5,9.5,Alkali-feldspar syenite
5,84.5,9.5,Syenite
0,90,10,Syenite
0,65,35,Syenite
5,61.75,33.25,Syenite
5,61.75,33.25,Monzonite
0,65,35,Monzonite
0,35,65,Monzonite
5,33.25,61.75,Monzonite
5,33.25,61.75,Monzodiorite / Monzogabbro
0,35,65,Monzodiorite / Monzogabbro
0,10,90,Monzodiorite / Monzogabbro
5,9.5,84.5,Monzodiorite / Monzogabbro
5,9.5,84.5,Diorite / Gabbro
0,10,90,Diorite / Gabbro
0,0,100,Diorite / Gabbro
5,0,95,Diorite / Gabbro
