#############################################,,,,,,,,,,
# Title : Outcrops,,,,,,,,,,
# Description : Geographic location and stratigraphic member affiliation and type of outcrops,,,,,,,,,,
# Date : 26/11/2014,,,,,,,,,,
# Author :Jérémy Ragusa,,,,,,,,,,
#############################################,,,,,,,,,,
# Caption :,,,,,,,,,,
# key : generic key for relation with others databases,,,,,,,,,,
# GPS location uses WGS84 system,,,,,,,,,,
# marker-color and marker-symbol : parameter to display marker using GeoJSON file,,,,,,,,,,
#############################################,,,,,,,,,,
title,title_french,longitude,latitude,sector,stratigraphy_formation,stratigraphy_member,marker-color,marker-symbol,type,comments
Rochette Castle,Château de la Rochette,"6,427717","46,291827",Allinges,Voirons Flysch,Allinges Sandstones,CC85B3,1,stream,Previously affiliated to the Vouan Conglomerates (Vial1987)
Grotte aux Loups,,"6,444539","46,31722",Allinges,Voirons Flysch,Vouan Conglomerates,CC85B3,2,quarry,Previously affiliated to the Vouan Conglomerates (Vial1987)
Allinges small quarry,,"6,4646","46,3355",Allinges,Voirons Flysch,Allinges Sandstones,CC85B3,3,quarry,Previously affiliated to the Vouan Conglomerates (Vial1987)
Allinges castle trail,Sentier des Châteaux des Allinges,"6,4634","46,3346",Allinges,Voirons Flysch,Allinges Sandstones,CC85B3,4,trail,Previously affiliated to the Vouan Conglomerates (Vial1987)
Rocher d'escalade,,"6,466","46,335",Allinges,Voirons Flysch,Allinges Sandstones,CC85B3,5,quarry,Previously affiliated to the Vouan Conglomerates (Vial1987)
Noyer road quarry,Carrière route de Noyer,"6,474","46,336",Allinges,Voirons Flysch,Allinges Sandstones,CC85B3,6,quarry,Previously affiliated to the Vouan Conglomerates (Vial1987)
Allinges avenue quarries,Carrières de l'avenue des Allinges,"6,466","46,33",Allinges,Voirons Flysch,Allinges Sandstones,CC85B3,7,quarry,Previously affiliated to the Vouan Conglomerates (Vial1987)
Château-Neuf d'Allinges,,"6,464","46,3309",Allinges,Voirons Flysch,Allinges Sandstones,CC85B3,8,bank,Previously affiliated to the Vouan Conglomerates (Vial1987)
Merizier stream,Torrent Chez le Merizier,"6,3999","46,2237",GrandeCombe-E,Voirons Flysch,Boëge Marls,63b6e5,1,stream,
Rollin stream,Torrent Chez Rollin,"6,3955","46,2265",GrandeCombe-E,Voirons Flysch,Boëge Marls,63b6e5,2,stream,
D 20 - Bovet-Rollin 1,,"6,3966","46,2316",GrandeCombe-E,Voirons Flysch,Boëge Marls,63b6e5,3,stream,
D 20 - Bovet-Rollin 2,,"6,3953","46,2306",GrandeCombe-E,Voirons Flysch,Boëge Marls,63b6e5,3,bank,
Saxel stream,Torrent de Saxel,"6,3993","46,2452",GrandeCombe-E,Voirons Flysch,Boëge Marls,63b6e5,4,stream,Lithostratotype of the Boëge Marls
Supersaxel road,Route de Supersaxel,"6,4082","46,2482",GrandeCombe-E,Voirons Flysch,Boëge Marls,63b6e5,5,bank,
Supersaxel,,"6,403","46,2431",GrandeCombe-E,Voirons Flysch,Boëge Marls,63b6e5,6,bank,
Supersaxel stream,Torrent de Supersaxel,"6,4097","46,2481",GrandeCombe-E,Voirons Flysch,Boëge Marls,63b6e5,6,stream,
Grange Sauthier,,"6,409","46,234",GrandeCombe-E,Voirons Flysch,Boëge Marls,63b6e5,7,bank,
la Chavanne (Burdignin),,6,46,GrandeCombe-S,Voirons Flysch,Bruant Sandstones,63b6e5,1,bank,Previously affiliated to the Wildflysch (Kerrien1998)
Musard stream,Torrent Chez Musard,6,46,GrandeCombe-S,Voirons Flysch,Boëge Marls,63b6e5,2,stream,
Carraz stream,Torrent de Carraz,6,46,GrandeCombe-S,Voirons Flysch,Bruant Sandstones,63b6e5,3,stream,Previously affiliated to the Wildflysch (Kerrien1998)
Burdignin,,"6,4245","46,2215",GrandeCombe-SE,Voirons Flysch,Bruant Sandstones,63b6e5,1,bank,
Comber Ecuer stream,Nant de la Combe Ecuer,"6,43","46,2325",GrandeCombe-SE,Voirons Flysch,Bruant Sandstones,63b6e5,2,stream,
Les Chaix,,"6,4225","46,1936",Ludran,Voirons Flysch,Boëge Marls,275D8C,1,bank,"Limited exposure, Now covered by limestone blocks"
Fayaux 1 quarry,Carrière des Fayaux 1,6,46,Romandes,Fayaux-Pléiades Flysch,-,,1,quarry,
Zollhaus quarry,Carrière de Zollhaus,6,46,Romandes,Schlieren Flysch,-,,2,quarry,
Fenalet quarry,Carrière du Fenalet,6,46,St-Gingolph,Voirons Flysch,Fenalet Sandstones,,1,quarry,
Bruant stream,Rau Bruant,6,46,Char-SE,Voirons Flysch,Bruant Sandstones,79B2C1,1,stream,Previously affiliated to the Wildflysch (Kerrien1998)
Rafort stream,Ruisseau du Rafort,"6,3828","46,2298",Voirons E,Voirons Flysch,Vouan Conglomerates,F1C542,0,stream,
la Coterie,,"6,3855","46,2415",Voirons E,Voirons Flysch,Vouan Conglomerates,F1C542,5,trail,
Saxel's church,Saxel église,"6,395","46,2438",Voirons-E,Voirons Flysch,Vouan Conglomerates,F1C542,1,bank,
Saxel's church inferior,Saxel église inférieur,"6,3942","46,242",Voirons-E,Voirons Flysch,Vouan Conglomerates,F1C542,2,stream,
la Salle 1,,"6,3916","46,2419",Voirons-E,Voirons Flysch,Vouan Conglomerates,F1C542,3,bank,
la Salle 2,,"6,3911","46,2383",Voirons-E,Voirons Flysch,Vouan Conglomerates,F1C542,4,bank,
Granges Gaillard,,"6,3783","46,2383",Voirons-E,Voirons Flysch,Voirons Sandstones,F1C542,6,bank,
road D 50,D50,"6,3626","46,2295",Voirons-E,Voirons Flysch,Voirons Sandstones,F1C542,7,bank,
Bethleem monastery,Monastère de Bethléem,"6,3576","46,2247",Voirons-E,Voirons Flysch,Voirons Sandstones,F1C542,8,bank,
Monastery road,Route des monastères,"6,3595","46,2289",Voirons-E,Voirons Flysch,Voirons Sandstones,F1C542,9,quarry,
