#############################################,,,,,
# Title: Ternary discrimination diagrams of magmatic rocks,,,,,
# Description: dataset of various geological classification domains for magmatic rocks in ternary diagram,,,,,
# Date: 2017/09/20,,,,,
# Author: Jérémy Ragusa,,,,,
#############################################,,,,,
# References:,,,,,
# Barker1979 : Barker F (1979) Trondhjemite: Definition environment and hypotheses of origin p1-12 in Barker F ed. Trondhjemites Dacites and Related Rocks Elsevier Amsterdam 659p,,,,,
# Streckeisen1967 : Streckeisen A (1967) Classification and nomenclature of igneous rocks Nues Jarbuch fur Mineralogie Abhandlungen 107 :144-240,,,,,
#############################################,,,,,
# Comments: ,,,,,
# Values are reported form references or using WebPlotDigitizer (http://arohatgi.info/WebPlotDigitizer/beta/),,,,,
# x = left corner y = top corner z = right corner,,,,,
#############################################,,,,,
x,y,z,line,reference,diagram
70,30,0,L1,Barker1979,Ab-An-Or
60,20,20,L1,Barker1979,Ab-An-Or
48,32,20,L2,Barker1979,Ab-An-Or
60,20,20,L2,Barker1979,Ab-An-Or
57.5,17.5,25,L3,Barker1979,Ab-An-Or
70,0,30,L3,Barker1979,Ab-An-Or
57.5,17.5,25,L4,Barker1979,Ab-An-Or
50,15,35,L4,Barker1979,Ab-An-Or
50,15,35,L5,Barker1979,Ab-An-Or
39,26,35,L5,Barker1979,Ab-An-Or
60,20,20,L6,Barker1979,Ab-An-Or
57.5,17.5,25,L6,Barker1979,Ab-An-Or
40,60,0,H1,Streckeisen1967,A-Q-P
0,60,40,H1,Streckeisen1967,A-Q-P
80,20,0,H2,Streckeisen1967,A-Q-P
0,20,80,H2,Streckeisen1967,A-Q-P
95,5,0,H3,Streckeisen1967,A-Q-P
0,5,95,H3,Streckeisen1967,A-Q-P
90,0,10,V1,Streckeisen1967,A-Q-P
36,60,4,V1,Streckeisen1967,A-Q-P
65,0,35,V2,Streckeisen1967,A-Q-P
26,60,14,V2,Streckeisen1967,A-Q-P
35,0,65,V3,Streckeisen1967,A-Q-P
14,60,26,V3,Streckeisen1967,A-Q-P
10,0,90,V4,Streckeisen1967,A-Q-P
4,60,36,V4,Streckeisen1967,A-Q-P
10,90,0,1,Mafic,Opx-Ol-Cpx
0,90,10,1,Mafic,Opx-Ol-Cpx
90,0,10,2,Mafic,Opx-Ol-Cpx
90,10,0,2,Mafic,Opx-Ol-Cpx
0,10,90,3,Mafic,Opx-Ol-Cpx
10,0,90,3,Mafic,Opx-Ol-Cpx
90,5,5,4,Mafic,Opx-Ol-Cpx
5,5,90,4,Mafic,Opx-Ol-Cpx
5,90,5,5,Mafic,Opx-Ol-Cpx
5,5,90,5,Mafic,Opx-Ol-Cpx
90,5,5,6,Mafic,Opx-Ol-Cpx
5,90,5,6,Mafic,Opx-Ol-Cpx
0,40,60,7,Mafic,Opx-Ol-Cpx
60,40,0,7,Mafic,Opx-Ol-Cpx
90,10,0,H1,Streckeisen1967,P-F-A
0,10,90,H1,Streckeisen1967,P-F-A
40,60,0,H2,Streckeisen1967,P-F-A
0,60,40,H2,Streckeisen1967,P-F-A
45,10,45,V1,Streckeisen1967,P-F-A
20,60,20,V1,Streckeisen1967,P-F-A
10,0,90,O1,Streckeisen1967,P-F-A
4,60,36,O1,Streckeisen1967,P-F-A
90,0,10,O2,Streckeisen1967,P-F-A
36,60,4,O2,Streckeisen1967,P-F-A
35,0,65,O3,Streckeisen1967,P-F-A
31.5,10,58.5,O3,Streckeisen1967,P-F-A
65,0,35,O4,Streckeisen1967,P-F-A
58.5,10,31.5,O4,Streckeisen1967,P-F-A
