#############################################,,,,,,
# title: Lines for ternary diagram domains,,,,,,
# author: Jérémy Ragusa,,,,,,
# date: 2016-01-18,,,,,,
# description: dataset for various geological classification domains in ternary diagram using ggtern package,,,,,,
#############################################,,,,,,
# references:,,,,,,
# Borkman JW (1955) Sandstone classification-relation to composition and texture. Journal of Sedimentary Research 25(3):201-206. doi : 10.1306/74D7044D-2B21-11D7-8648000102C1865D,,,,,,
# Crook KAW (1960) Classification of arenites. American Journal of Science 258(6):419-428. doi : 10.2475/ajs.258.6.419,,,,,,
# Dapples EC Krumbein WC Sloss LL (1953) Petrographic and Lithologic Attributes of Sandstones. The Journal of Geology 61(4):291-317. doi : 10.1086/626098,,,,,,
# Folk RL (1954) The Distinction between Grain Size and Mineral Composition in Sedimentary-Rock Nomenclature. The Journal of Geology 62(4):344-359. doi : 10.1086/626171,,,,,,
# Folk RL (1970) Detrital sedimentary rock classification and nomenclature for use in New Zealand. New Zealand Journal of Geology and Geophysics 13(4):937-968. doi : 10.1080/00288306.1970.10418211,,,,,,
# Gilbert CM (1955) in Williams H Turner FJ Gilbert CM. Petrography. Freeman and Co. 406p.,,,,,,
# Hubert JF (1960) Petrology of the Fountain and Lyons formations along the Colorado Front Range. Quaterly of the Colorado School Mine 551-242,,,,,,
# Krumbein WC Sloss LL (1951) Stratigraphy and sedimentation. Freeman and Co. 497p.,,,,,,
# Krynine PD (1948) The Megascopic Study and Field Classification of Sedimentary Rocks. The Journal of Geology 56(2):130-165. doi : 10.1086/625492,,,,,,
# Lerbekmo JF (1963) Petrology of the Belly River Formation Southern Alberta Foothills. Sedimentology 2(1):54-86. doi : 10.1111/j.1365-3091.1963.tb01200.x,,,,,,
# McBride EF (1960) A classification of common sandstones. Journal of Sedimentary Research 33(3):664-669. doi : 10.1306/74D70EE8-2B21-11D7-8648000102C1865D,,,,,,
# Packham GH (1954) Sedimentary features as an important feature in the classification of sandstone. American Journal of Sciences 252(8):466-476. doi : 10.2475/ajs.252.8.466 ,,,,,,
# Pettijohn FJ (1949) Sedimentary rocks. Harper and Brothers 525p.,,,,,,
# Pettijohn FJ (1954) Classification of Sandstones. The Journal of Geology 62(4):360-365. doi : 10.1086/626172,,,,,,
# van Andel TH (1958) Origin and classification of Cretaceous Paleocene and Eocene sandstones of western Venezuela: American Association of Petroleum Geologists Bulletin 42(4):734-763,,,,,,
# Vatan A (1954) Pétrographie sédimentaire. Technip 279p.,,,,,,
# revoir pettijohn1954-1957 fig.7 dans Klein1963,,,,,,
#############################################,,,,,,
# comments: ,,,,,,
# values are reported from references or using WebPlotDigitizer (http://arohatgi.info/WebPlotDigitizer/beta/),,,,,,
# x = left corner y = top corner z = right corner,,,,,,
#############################################,,,,,,
x,y,z,line,reference,year,remarks
25,75,0,H1,Pettijohn1949,1949,
0,75,25,H1,Pettijohn1949,1949,
80,20,0,H2,Pettijohn1949,1949,
0,20,80,H2,Pettijohn1949,1949,
25,0,75,O1,Pettijohn1949,1949,
25,20,55,O1,Pettijohn1949,1949,
10,0,90,O2,Pettijohn1949,1949,
10,75,15,O2,Pettijohn1949,1949,
25,75,0,H1,Pettijohn1954,1954,
0,75,25,H1,Pettijohn1954,1954,
85,15,0,H2,Pettijohn1954,1954,
0,15,85,H2,Pettijohn1954,1954,
25,0,75,O1,Pettijohn1954,1954,
25,15,60,O1,Pettijohn1954,1954,
5,0,95,O2,Pettijohn1954,1954,
5,15,80,O2,Pettijohn1954,1954,
90,0,10,O1,Folk1954,1954,
10,80,10,O1,Folk1954,1954,
10,0,90,O2,Folk1954,1954,
10,80,10,O2,Folk1954,1954,
5,95,0,O3,Folk1954,1954,
5,90,5,O3,Folk1954,1954,
0,95,5,O4,Folk1954,1954,
5,90,5,O4,Folk1954,1954,
50,0,50,O5,Folk1954,1954,
5,90,5,O5,Folk1954,1954,
25,75,0,O6,Folk1954,1954,
25,50,25,O6,Folk1954,1954,
0,75,25,O7,Folk1954,1954,
25,50,25,O7,Folk1954,1954,
5,95,0,H1,Crook1960_QFR,1960,
0,95,5,H1,Crook1960_QFR,1960,
25,75,0,H2,Crook1960_QFR,1960,
0,75,25,H2,Crook1960_QFR,1960,
"2,5",95,"2,5",H3,Crook1960_QFR,1960,
50,0,50,H3,Crook1960_QFR,1960,
"6,25",75,"18,75",O1,Crook1960_QFR,1960,
25,0,75,O1,Crook1960_QFR,1960,
"18,75",75,"6,25",O2,Crook1960_QFR,1960,
75,0,25,O2,Crook1960_QFR,1960,
10,0,90,O1,Crook1960_MLQ,1960,
"2,5",75,"22,5",O1,Crook1960_MLQ,1960,
25,0,75,O2,Crook1960_MLQ,1960,
"6,25",75,"18,75",O2,Crook1960_MLQ,1960,
0,75,25,H1,Crook1960_MLQ,1960,
25,75,0,H1,Crook1960_MLQ,1960,
5,95,0,H1,Folk1970,1970,idem Folk1974
0,95,5,H1,Folk1970,1970,
25,75,0,H2,Folk1970,1970,
0,75,25,H2,Folk1970,1970,
"2,5",95,"2,5",H3,Folk1970,1970,
50,0,50,H3,Folk1970,1970,
"6,25",75,"18,75",O1,Folk1970,1970,
25,0,75,O1,Folk1970,1970,
"18,75",75,"6,25",O2,Folk1970,1970,
75,0,25,O2,Folk1970,1970,
90,0,10,O1,McBride1963,1963,
10,80,10,O1,McBride1963,1963,
10,0,90,O2,McBride1963,1963,
10,80,10,O2,McBride1963,1963,
5,95,0,O3,McBride1963,1963,
5,90,5,O3,McBride1963,1963,
0,95,5,O4,McBride1963,1963,
5,90,5,O4,McBride1963,1963,
