#############################################,,,,
# Title :  area for geological ternary diagram domains,,,,
# Description : dataset for various geological classification domains in ternary diagram using ggtern package,,,,
# Date : 2016/01/18,,,,
# Author : Jérémy Ragusa,,,,
#############################################,,,,
# References :,,,,
# QFL: Dickinson model from Dickinson & al. (1983),,,,
# QmFLt: Dickinson model from Dickinson & al. (1983),,,,
# Folk: Sanstones classification (QFR) from Folk (1970),,,,
# McBride: Sanstones classification (QFR) from McBride (1963),,,,
# garnet: Garnet classification from Morton (1989),,,,
# pyroxene: Pyroxene classification from unknown,,,,
# igneous: igneous rocks classification (QAP),,,,
# volcanic: voclanic rocks classification (QAP),,,,
# ultramafic: ultramafic (peridotite + pyroxenite) rocks classification,,,,
x,y,z,label,type
0,0,100,Craton Interior,QFL
18,0,82,Craton Interior,QFL
15.293,5.089,79.617,Craton Interior,QFL
0,3,97,Craton Interior,QFL
18,0,82,Transitional Continental,QFL
45,0,55,Transitional Continental,QFL
40.046, 8.681, 51.273,Transitional Continental,QFL
15.293,5.089,79.617,Transitional Continental,QFL
45,0,55,Basement Uplift,QFL
100,0,0,Basement Uplift,QFL
85,15,0,Basement Uplift,QFL
40.046, 8.681, 51.273,Basement Uplift,QFL
50,50,0,Undissected Arc,QFL
0,100,0,Undissected Arc,QFL
0,75,25,Undissected Arc,QFL
85,15,0,Transitional Arc,QFL
50,50,0,Transitional Arc,QFL
0,75,25,Transitional Arc,QFL
12.832, 53.791, 33.377,Transitional Arc,QFL
69.443,12.883,17.674,Transitional Arc,QFL
69.443,12.883,17.674,Dissected Arc,QFL
12.832, 53.791, 33.377,Dissected Arc,QFL
40.046, 8.681, 51.273,Dissected Arc,QFL
0,3,97,Recycled Orogenic,QFL
40.046, 8.681, 51.273,Recycled Orogenic,QFL
0,75,25,Recycled Orogenic,QFL
0,0,100,Craton Interior,QmFLt
20,0,80,Craton Interior,QmFLt
12.816,12.676,74.508,Craton Interior,QmFLt
0,11,89,Craton Interior,QmFLt
20,0,80,Transitional Continental,QmFLt
43,0,57,Transitional Continental,QmFLt
34.917,16.112,48.971,Transitional Continental,QmFLt
12.816,12.676,74.508,Transitional Continental,QmFLt
43,0,57,Basement Uplift,QmFLt
100,0,0,Basement Uplift,QmFLt
77,23,0,Basement Uplift,QmFLt
34.917,16.112,48.971,Basement Uplift,QmFLt
47,53,0,Undissected Arc,QmFLt
13,87,0,Undissected Arc,QmFLt
14.099,73.137,12.765,Undissected Arc,QmFLt
47,53,0,Transitional Arc,QmFLt
14.099,73.137,12.765,Transitional Arc,QmFLt
15.798,54.751,29.45,Transitional Arc,QmFLt
58.386,19.674,21.94,Transitional Arc,QmFLt
77,23,0,Transitional Arc,QmFLt
58.386,19.674,21.94,Dissected Arc,QmFLt
15.798,54.751,29.45,Dissected Arc,QmFLt
34.917,16.112,48.971,Dissected Arc,QmFLt
19.248,13.663,67.089,Mixed,QmFLt
15.798,54.751,29.45,Mixed,QmFLt
34.917,16.112,48.971,Mixed,QmFLt
19.248,13.663,67.089,Quatzose Recycled,QmFLt
17.514,33.098,49.388,Quatzose Recycled,QmFLt
0,42,58,Quatzose Recycled,QmFLt
0,11,89,Quatzose Recycled,QmFLt
0,42,58,Transitional Recycled,QmFLt
17.514,33.098,49.388,Transitional Recycled,QmFLt
14.855,63.849,21.296,Transitional Recycled,QmFLt
0,71,29,Transitional Recycled,QmFLt
14.855,63.849,21.296,Lithic Recycled,QmFLt
13,87,0,Lithic Recycled,QmFLt
0,100,0,Lithic Recycled,QmFLt
0,71,29,Lithic Recycled,QmFLt
100,0,0,Quartzarenite,Folk
95,5,0,Quartzarenite,Folk
95,0,5,Quartzarenite,Folk
95,5,0,Subfeldsparenite,Folk
95,2.5,2.5,Subfeldsparenite,Folk
75,12.5,12.5,Subfeldsparenite,Folk
75,25,0,Subfeldsparenite,Folk
95,2.5,2.5,Sublitharenite,Folk
75,12.5,12.5,Sublitharenite,Folk
75,0,25,Sublitharenite,Folk
95,0,5,Sublitharenite,Folk
75,25,0,Arkose,Folk
0,100,0,Arkose,Folk
0,75,25,Arkose,Folk
75,18.75,6.25,Arkose,Folk
75,18.75,6.25,Lithic arkose,Folk
0,75,25,Lithic arkose,Folk
0,50,50,Lithic arkose,Folk
75,12.5,12.5,Lithic arkose,Folk
75,12.5,12.5,Feldspathic litharenite,Folk
0,50,50,Feldspathic litharenite,Folk
0,25,75,Feldspathic litharenite,Folk
75,6.25,18.75,Feldspathic litharenite,Folk
75,6.25,18.75,Litharenite,Folk
0,25,75,Litharenite,Folk
0,0,100,Litharenite,Folk
75,0,25,Litharenite,Folk
100,0,0,Quartzarenite,McBride
95,5,0,Quartzarenite,McBride
90,5,5,Quartzarenite,McBride
95,0,5,Quartzarenite,McBride
95,5,0,Subfeldsparenite,McBride
75,25,0,Subfeldsparenite,McBride
65,25,10,Subfeldsparenite,McBride
80,10,10,Subfeldsparenite,McBride
90,5,5,Subfeldsparenite,McBride
95,0,5,Sublitharenite,McBride
75,0,25,Sublitharenite,McBride
65,10,25,Sublitharenite,McBride
80,10,10,Sublitharenite,McBride
90,5,5,Sublitharenite,McBride
80,10,10,Lithic subfeldparenite (subarkose),McBride
65,25,10,Lithic subfeldparenite (subarkose),McBride
50,25,25,Lithic subfeldparenite (subarkose),McBride
65,10,25,Lithic subfeldparenite (subarkose),McBride
75,25,0,Arkose,McBride
0,100,0,Arkose,McBride
0,90,10,Arkose,McBride
65,25,10,Arkose,McBride
65,25,10,Lithic arkose,McBride
0,90,10,Lithic arkose,McBride
0,50,50,Lithic arkose,McBride
50,25,25,Lithic arkose,McBride
65,10,25,Feldspathic litharenite,McBride
0,10,90,Feldspathic litharenite,McBride
0,50,50,Feldspathic litharenite,McBride
50,25,25,Feldspathic litharenite,McBride
75,0,25,Litharenite,McBride
0,0,100,Litharenite,McBride
0,10,90,Litharenite,McBride
65,10,25,Litharenite,McBride
71,29,0,Type A,garnet
49,40,11,Type A,garnet
20,69,11,Type A,garnet
20,80,0,Type A,garnet
20,69,11,Type B i,garnet
20,80,0,Type B i,garnet
0,100,0,Type B i,garnet
0,89,11,Type B i,garnet
0,89,11,Type B ii,garnet
0,45,55,Type B ii,garnet
10.5,39.75,49.75,Type B ii,garnet
10.5,64.75,24.75,Type B ii,garnet
20,69,11,Type B ii,garnet
0,45,55,Type D,garnet
10.5,39.75,49.75,Type D,garnet
10.5,0,89.5,Type D,garnet
0,0,100,Type D,garnet
39.5,49.5,11,Type C i,garnet
20,69,11,Type C i,garnet
10.5,64.75,24.75,Type C i,garnet
10.5,0,89.5,Type C i,garnet
39.5,0,60.5,Type C i,garnet
100,0,0,Type C ii,garnet
71,29,0,Type C ii,garnet
49,40,11,Type C ii,garnet
39.5,49.5,11,Type C ii,garnet
39.5,0,60.5,Type C ii,garnet
50,50,0,Diopside,pyroxene
45,55,0,Diopside,pyroxene
45,27.5,27.5,Diopside,pyroxene
50,25,25,Diopside,pyroxene
50,0,50,Hedenbergite,pyroxene
45,0,55,Hedenbergite,pyroxene
45,27.5,27.5,Hedenbergite,pyroxene
50,25,25,Hedenbergite,pyroxene
45,55,0,Augite,pyroxene
20,80,0,Augite,pyroxene
20,0,80,Augite,pyroxene
45,0,55,Augite,pyroxene
20,80,0,Pigeonite,pyroxene
5,95,0,Pigeonite,pyroxene
5,0,95,Pigeonite,pyroxene
20,0,80,Pigeonite,pyroxene
5,95,0,(Clino)Enstatite,pyroxene
0,100,0,(Clino)Enstatite,pyroxene
0,50,50,(Clino)Enstatite,pyroxene
5,47.5,47.5,(Clino)Enstatite,pyroxene
5,0,95,(Clino)Ferrosilite,pyroxene
0,0,100,(Clino)Ferrosilite,pyroxene
0,50,50,(Clino)Ferrosilite,pyroxene
5,47.5,47.5,(Clino)Ferrosilite,pyroxene
100,0,0,Quartzolite,igneous
90,10,0,Quartzolite,igneous
90,0,10,Quartzolite,igneous
90,10,0,Quartz-rich granitoid,igneous
60,40,0,Quartz-rich granitoid,igneous
60,0,40,Quartz-rich granitoid,igneous
90,0,10,Quartz-rich granitoid,igneous
60,40,0,Alkali-feldspar granite,igneous
20,80,0,Alkali-feldspar granite,igneous
20,72,8,Alkali-feldspar granite,igneous
60,36,4,Alkali-feldspar granite,igneous
60,36,4,Syeno-granite,igneous
20,72,8,Syeno-granite,igneous
20,52.125,27.875,Syeno-granite,igneous
60,26,14,Syeno-granite,igneous
60,26,14,Monzo-granite,igneous
20,52.125,27.875,Monzo-granite,igneous
20,27.875,52.125,Monzo-granite,igneous
60,14,26,Monzo-granite,igneous
60,14,26,Grano-diorite,igneous
20,27.875,52.125,Grano-diorite,igneous
20,8,72,Grano-diorite,igneous
60,4,36,Grano-diorite,igneous
60,4,36,Tonalite,igneous
20,8,72,Tonalite,igneous
20,0,80,Tonalite,igneous
60,0,40,Tonalite,igneous
20,80,0,Alkali-feldspar quartz syenite,igneous
5,95,0,Alkali-feldspar quartz syenite,igneous
5,84.5,9.5,Alkali-feldspar quartz syenite,igneous
20,72,8,Alkali-feldspar quartz syenite,igneous
20,72,8,Quartz syenite,igneous
5,84.5,9.5,Quartz syenite,igneous
5,61.75,33.25,Quartz syenite,igneous
20,52.125,27.875,Quartz syenite,igneous
20,52.125,27.875,Quartz monzonite,igneous
5,61.75,33.25,Quartz monzonite,igneous
5,33.25,61.75,Quartz monzonite,igneous
20,27.875,52.125,Quartz monzonite,igneous
20,27.875,52.125,Quartz monzodiorite / Quartz monzogabbro,igneous
5,33.25,61.75,Quartz monzodiorite / Quartz monzogabbro,igneous
5,9.5,84.5,Quartz monzodiorite / Quartz monzogabbro,igneous
20,8,72,Quartz monzodiorite / Quartz monzogabbro,igneous
20,8,72,Quartz diorite / Quartz gabbro,igneous
5,9.5,84.5,Quartz diorite / Quartz gabbro,igneous
5,0,95,Quartz diorite / Quartz gabbro,igneous
20,0,80,Quartz diorite / Quartz gabbro,igneous
5,95,0,Alkali-feldspar syenite,igneous
0,100,0,Alkali-feldspar syenite,igneous
0,90,10,Alkali-feldspar syenite,igneous
5,84.5,9.5,Alkali-feldspar syenite,igneous
5,84.5,9.5,Syenite,igneous
0,90,10,Syenite,igneous
0,65,35,Syenite,igneous
5,61.75,33.25,Syenite,igneous
5,61.75,33.25,Monzonite,igneous
0,65,35,Monzonite,igneous
0,35,65,Monzonite,igneous
5,33.25,61.75,Monzonite,igneous
5,33.25,61.75,Monzodiorite / Monzogabbro,igneous
0,35,65,Monzodiorite / Monzogabbro,igneous
0,10,90,Monzodiorite / Monzogabbro,igneous
5,9.5,84.5,Monzodiorite / Monzogabbro,igneous
5,9.5,84.5,Diorite / Gabbro,igneous
0,10,90,Diorite / Gabbro,igneous
0,0,100,Diorite / Gabbro,igneous
5,0,95,Diorite / Gabbro,igneous
60,40,0,Alkali-rhyolite,volcanic
20,80,0,Alkali-rhyolite,volcanic
20,72,8,Alkali-rhyolite,volcanic
60,36,4,Alkali-rhyolite,volcanic
60,36,4,Rhyolite,volcanic
20,72,8,Rhyolite,volcanic
20,52.125,27.875,Rhyolite,volcanic
60,26,14,Rhyolite,volcanic
60,26,14,Rhyo-dacite,volcanic
20,52.125,27.875,Rhyo-dacite,volcanic
20,27.875,52.125,Rhyo-dacite,volcanic
60,14,26,Rhyo-dacite,volcanic
60,14,26,Dacite,volcanic
20,27.875,52.125,Dacite,volcanic
20,8,72,Dacite,volcanic
60,4,36,Dacite,volcanic
60,4,36,Quartz andesite,volcanic
5,9.5,84.5,Quartz andesite,volcanic
5,0,95,Quartz andesite,volcanic
60,0,40,Quartz andesite,volcanic
20,80,0,Alkali quartz trachyte,volcanic
5,95,0,Alkali quartz trachyte,volcanic
5,84.5,9.5,Alkali quartz trachyte,volcanic
20,72,8,Alkali quartz trachyte,volcanic
20,72,8,Quartz trachyte,volcanic
5,84.5,9.5,Quartz trachyte,volcanic
5,61.75,33.25,Quartz trachyte,volcanic
20,52.125,27.875,Quartz trachyte,volcanic
20,52.125,27.875,Quartz latite,volcanic
5,61.75,33.25,Quartz latite,volcanic
5,33.25,61.75,Quartz latite,volcanic
20,27.875,52.125,Quartz latite,volcanic
20,27.875,52.125,Andesite,volcanic
5,33.25,61.75,Andesite,volcanic
5,9.5,84.5,Andesite,volcanic
20,8,72,Andesite,volcanic
5,95,0,Alkali-trachyte,volcanic
0,100,0,Alkali-trachyte,volcanic
0,90,10,Alkali-trachyte,volcanic
5,84.5,9.5,Alkali-trachyte,volcanic
5,84.5,9.5,Trachyte,volcanic
0,90,10,Trachyte,volcanic
0,65,35,Trachyte,volcanic
5,61.75,33.25,Trachyte,volcanic
5,61.75,33.25,Latite,volcanic
0,65,35,Latite,volcanic
0,35,65,Latite,volcanic
5,33.25,61.75,Latite,volcanic
5,33.25,61.75,Latite / basalt,volcanic
0,35,65,Latite / basalt,volcanic
0,10,90,Latite / basalt,volcanic
5,9.5,84.5,Latite / basalt,volcanic
5,9.5,84.5,Basalt,volcanic
0,10,90,Basalt,volcanic
0,0,100,Basalt,volcanic
5,0,95,Basalt,volcanic
100,0,0,Dunite,ultramafic
90,10,0,Dunite,ultramafic
90,0,10,Dunite,ultramafic
90,10,0,Harzburgite,ultramafic
40,60,0,Harzburgite,ultramafic
40,55,5,Harzburgite,ultramafic
90,5,5,Harzburgite,ultramafic
90,5,5,Lherzolite,ultramafic
40,55,5,Lherzolite,ultramafic
40,5,55,Lherzolite,ultramafic
90,5,5,Wehrlite,ultramafic
40,5,55,Wehrlite,ultramafic
40,0,60,Wehrlite,ultramafic
90,0,10,Wehrlite,ultramafic
40,60,0,Olivine orthopyroxenite,ultramafic
10,90,0,Olivine orthopyroxenite,ultramafic
5,90,5,Olivine orthopyroxenite,ultramafic
40,55,5,Olivine orthopyroxenite,ultramafic
40,55,5,Olivine websterite,ultramafic
5,90,5,Olivine websterite,ultramafic
5,5,90,Olivine websterite,ultramafic
40,5,55,Olivine websterite,ultramafic
40,0,60,Olivine clinopyroxenite,ultramafic
10,0,90,Olivine clinopyroxenite,ultramafic
5,5,90,Olivine clinopyroxenite,ultramafic
40,5,55,Olivine clinopyroxenite,ultramafic
0,100,0,Orthopyroxenite,ultramafic
0,90,10,Orthopyroxenite,ultramafic
10,90,0,Orthopyroxenite,ultramafic
5,90,5,Websterite,ultramafic
0,90,10,Websterite,ultramafic
0,10,90,Websterite,ultramafic
5,5,90,Websterite,ultramafic
0,0,100,Clinopyroxenite,ultramafic
10,0,90,Clinopyroxenite,ultramafic
0,10,90,Clinopyroxenite,ultramafic
