#############################################,,,,
# Title : Lines for ternary diagram domains,,,,
# Description : dataset for various geological classification domains in ternary diagram using ggtern package,,,,
# Date : 2016/01/18,,,,
# Author : Jérémy Ragusa,,,,
#############################################,,,,
# References :,,,,
# QFL: Dickinson model from Dickinson & al. (1983),,,,
# QmFLt: Dickinson model from Dickinson & al. (1983),,,,
# Folk: Sanstones classification from Folk (1970),,,,
# McBride: Sanstones classification from McBride (1963),,,,
# garnet: Garnet classification from Morton (1989),,,,
# pyroxene: Pyroxene classification from unknown,,,,
# QAP: igneous & volcanic rocks classification,,,,
# ultramafic: ultramafic (peridotite + pyroxenite) rocks classification,,,,
#############################################,,,,
# Comments: ,,,,
# Values are reported form references or using WebPlotDigitizer (http://arohatgi.info/WebPlotDigitizer/beta/),,,,
# x = left corner y = top corner z = right corner,,,,
#############################################,,,,
x,y,z,line,type
0,97,3,1,QFL
85,0,15,1,QFL
45,55,0,2,QFL
0,25,75,2,QFL
18,82,0,3,QFL
15.293,79.617,5.089,3,QFL
69.443,17.674,12.883,4,QFL
12.832, 33.377, 53.791,4,QFL
50,0,50,5,QFL
0,25,75,5,QFL
0,89,11,1,QmFLt
77,0,23,1,QmFLt
19.248,67.089,13.663,2,QmFLt
13,0,87,2,QmFLt
20,80,0,3,QmFLt
12.816,74.508,12.676,3,QmFLt
43,57,0,4,QmFLt
15.798,29.45,54.751,4,QmFLt
15.798,29.45,54.751,5,QmFLt
58.386,21.94,19.674,5,QmFLt
14.099,12.765,73.137,6,QmFLt
47,0,53,6,QmFLt
14.855,21.296,63.849,7,QmFLt
0,29,71,7,QmFLt
17.514,49.388,33.098,8,QmFLt
0,58,42,8,QmFLt
5,95,0,1,Folk
0,95,5,1,Folk
25,75,0,2,Folk
0,75,25,2,Folk
2.5,95,2.5,3,Folk
50,0,50,3,Folk
6.25,75,18.75,4,Folk
25,0,75,4,Folk
18.75,75,6.25,5,Folk
75,0,25,5,Folk
90,0,10,1,McBride
10,80,10,1,McBride
10,0,90,2,McBride
10,80,10,2,McBride
5,95,0,3,McBride
5,90,5,3,McBride
0,95,5,4,McBride
5,90,5,4,McBride
50,0,50,5,McBride
5,90,5,5,McBride
25,75,0,6,McBride
25,50,25,6,McBride
0,75,25,7,McBride
25,50,25,7,McBride
0,10.5,89.5,H1,Garnet
64.75,10.5,24.75,H1,Garnet
69,20,11,H1,Garnet
80,20,0,H1,Garnet
49.5,39.5,11,H2,Garnet
0,39.5,60.5,H2,Garnet
45,0,55,V1,Garnet
39.75,10.5,49.75,V1,Garnet
89,0,11,V2,Garnet
69,20,11,V2,Garnet
40,49,11,V2,Garnet
29,71,0,V2,Garnet
0,5,95,H1,Pyroxene
95,5,0,H1,Pyroxene
0,20,80,H2,Pyroxene
80,20,0,H2,Pyroxene
0,45,55,H3,Pyroxene
55,45,0,H3,Pyroxene
50,50,0,H4,Pyroxene
0,50,50,H4,Pyroxene
47.5,5,47.5,V1,Pyroxene
50,0,50,V1,Pyroxene
27.5,45,27.5,V2,Pyroxene
25,50,25,V2,Pyroxene
0,60,40,H1,QAP
40,60,0,H1,QAP
0,20,80,H2,QAP
80,20,0,H2,QAP
0,5,95,H3,QAP
95,5,0,H3,QAP
10,0,90,V1,QAP
4,60,36,V1,QAP
35,0,65,V2,QAP
14,60,26,V2,QAP
65,0,35,V3,QAP
26,60,14,V3,QAP
90,0,10,V4,QAP
36,60,4,V4,QAP
10,90,0,1,Peridotite
0,90,10,1,Peridotite
90,0,10,2,Peridotite
90,10,0,2,Peridotite
0,10,90,3,Peridotite
10,0,90,3,Peridotite
90,5,5,4,Peridotite
5,5,90,4,Peridotite
5,90,5,5,Peridotite
5,5,90,5,Peridotite
90,5,5,6,Peridotite
5,90,5,6,Peridotite
0,40,60,7,Peridotite
60,40,0,7,Peridotite
